temporada,partida_id,rodada,data,mandante,visitante,placar,tecnico_mandante,tecnico_visitante,formacao_mandante,formacao_visitante
2003,75,7,2003-05-03,Cruzeiro,Athletico-PR,5-2,Vanderlei Luxemburgo,Vadão,,
2003,460,39,2003-10-25,Cruzeiro,Figueirense,1-0,Vanderlei Luxemburgo,Dorival Júnior,,
2004,595,4,2004-05-02,Fluminense,Vasco,1-0,Ricardo Gomes,Geninho,,
2004,903,30,2004-09-11,Guarani,Juventude,3-1,Agnaldo Liz,Ivo Wortmann,,
2004,1102,46,2004-12-19,Juventude,Paysandu,1-2,Ivo Wortmann,Vágner Benazzi,,
2005,1110,1,2005-04-24,Fortaleza,Coritiba,0-1,Vágner Benazzi,Antônio Lopes,,
2005,1114,1,2005-04-24,Brasiliense,Vasco,0-1,Valdir Espinosa,Dário Lourenço,,
2005,1270,16,2005-07-30,Cruzeiro,Fortaleza,3-0,Paulo César Gusmão,Hélio dos Anjos,,
2005,1326,21,2005-08-20,Sao Caetano,Cruzeiro,0-1,Levir Culpi,Paulo César Gusmão,,
2005,1335,21,2005-10-28,Internacional,Coritiba,3-2,Muricy Ramalho,Márcio Araújo,,
2005,1359,24,2005-09-07,Fortaleza,Sao Caetano,5-2,Hélio dos Anjos,Levir Culpi,,
2005,1398,27,2005-09-22,Juventude,Coritiba,0-0,Sebastião Lazaroni,Cuca,,
2005,1408,28,2005-09-25,Coritiba,Vasco,2-0,Cuca,Renato Gaúcho,,
2005,1413,29,2005-10-01,Parana,Coritiba,3-2,Luiz Carlos Barbieri,Cuca,,
2005,1426,30,2005-10-04,Coritiba,Goias,0-2,Cuca,Geninho,,
2005,1445,31,2005-10-11,Paysandu,Coritiba,2-1,Carlos Alberto Torres,Cuca,,
2005,1450,32,2005-10-15,Coritiba,Athletico-PR,1-2,Junior Lopes,Evaristo Macedo,,
2005,1466,33,2005-10-22,Botafogo-RJ,Coritiba,2-0,Celso Roth,Junior Lopes,,
2005,1468,34,2005-10-25,Coritiba,Cruzeiro,0-3,Junior Lopes,PC Gusmão,,
2005,1489,35,2005-10-31,Flamengo,Coritiba,2-1,Joel Santana,Márcio Araújo,,
2005,1491,36,2005-11-02,Juventude,Fortaleza,2-0,Hélio dos Anjos,Valdir Espinosa,,
2005,1495,36,2005-11-03,Coritiba,Figueirense,4-1,Márcio Araújo,Adilson Batista,,
2005,1501,37,2005-11-05,Sao Paulo,Juventude,3-1,Paulo Autuori,Hélio dos Anjos,,
2005,1511,37,2005-11-06,Brasiliense,Coritiba,1-1,Márcio Bittencourt,Márcio Araújo,,
2005,1518,38,2005-11-13,Coritiba,Corinthians,0-1,Márcio Araújo,Antônio Lopes,,
2005,1521,38,2005-11-13,Juventude,Sao Caetano,3-1,Hélio dos Anjos,Cuca,,
2005,1523,39,2005-11-16,Palmeiras,Juventude,3-2,Emerson Leão,Hélio dos Anjos,,
2005,1531,39,2005-11-17,Coritiba,Ponte Preta,2-1,Márcio Araújo,Estevam Soares,,
2005,1535,40,2005-11-19,Juventude,Goias,2-1,Hélio dos Anjos,Geninho,,
2005,1541,40,2005-11-20,Atletico-MG,Coritiba,1-0,Lori Sandri,Márcio Araújo,,
2005,1548,41,2005-11-27,Sao Caetano,Coritiba,1-1,Cuca,Márcio Araújo,,
2005,1551,41,2005-11-27,Fluminense,Juventude,1-2,Abel Braga,Hélio dos Anjos,,
2005,1558,42,2005-12-04,Figueirense,Santos,3-1,Adilson Batista,Serginho Chulapa,,
2005,1561,42,2005-12-04,Coritiba,Internacional,1-0,Márcio Araújo,Muricy Ramalho,,
2005,1563,42,2005-12-04,Juventude,Atletico-MG,1-3,Hélio dos Anjos,Lori Sandri,,
