status,partida_id,temporada,rodada,data_banco,data_ogol,mandante,visitante,placar,match_method,source_url,tecnico_mandante,tecnico_visitante
ok,1115,2005,1,2005-04-24,2005-04-24,Santos,Paysandu,4-1,exact,https://www.ogol.com.br/jogo/2005-04-24-santos-paysandu/179636,Alexandre Gallo,Paulo Campos
ok,1118,2005,2,2005-04-30,2005-04-30,Palmeiras,Brasiliense,2-1,exact,https://www.ogol.com.br/jogo/2005-04-30-palmeiras-brasiliense/179656,Paulo Bonamigo,Valdir Espinosa
ok,1130,2005,3,2005-05-07,2005-05-07,Santos,Athletico-PR,2-1,exact,https://www.ogol.com.br/jogo/2005-05-07-santos-atletico-paranaense/179658,Alexandre Gallo,Edinho Nazareth
ok,1136,2005,3,2005-05-08,2005-05-08,Atletico-MG,Brasiliense,0-1,exact,https://www.ogol.com.br/jogo/2005-05-08-atletico-mineiro-brasiliense/179666,Tite,Valdir Espinosa
ok,1151,2005,5,2005-05-21,2005-05-21,Fortaleza,Brasiliense,2-0,exact,https://www.ogol.com.br/jogo/2005-05-21-fortaleza-brasiliense/179684,Vágner Benazzi,Valdir Espinosa
ok,1167,2005,6,2005-05-29,2005-05-29,Brasiliense,Parana,1-0,exact,https://www.ogol.com.br/jogo/2005-05-29-brasiliense-parana/179701,Valdir Espinosa,Lori Sandri
ok,1180,2005,7,2005-06-12,2005-06-12,Vasco,Coritiba,2-2,exact,https://www.ogol.com.br/jogo/2005-06-12-vasco-coritiba/179707,Dário Lourenço,Cuca
ok,1187,2005,8,2005-06-18,2005-06-18,Ponte Preta,Goias,2-0,exact,https://www.ogol.com.br/jogo/2005-06-18-ponte-preta-goias/179716,Vadão,Edson Gaúcho
ok,1194,2005,9,2005-06-25,2005-06-25,Juventude,Ponte Preta,1-3,exact,https://www.ogol.com.br/jogo/2005-06-25-juventude-ponte-preta/179725,Ivo Wortmann,Vadão
ok,1206,2005,10,2005-07-02,2005-07-02,Vasco,Goias,1-2,exact,https://www.ogol.com.br/jogo/2005-07-02-vasco-goias/179740,Dário Lourenço,Edson Gaúcho
ok,1222,2005,11,2005-07-10,2005-07-10,Goias,Santos,3-4,exact,https://www.ogol.com.br/jogo/2005-07-10-goias-santos/179756,Edson Gaúcho,Alexandre Gallo
ok,1226,2005,12,2005-07-16,2005-07-16,Ponte Preta,Figueirense,2-1,exact,https://www.ogol.com.br/jogo/2005-07-16-ponte-preta-figueirense/179760,Vadão,Marco Aurélio
ok,1238,2005,13,2005-07-20,2005-07-21,Botafogo-RJ,Ponte Preta,4-2,same_score,https://www.ogol.com.br/jogo/2005-07-21-botafogo-ponte-preta/179775,Péricles Chamusca,Vadão
ok,1243,2005,13,2005-07-20,2005-07-21,Figueirense,Palmeiras,1-4,same_score,https://www.ogol.com.br/jogo/2005-07-21-figueirense-palmeiras/179770,Marco Aurélio,Emerson Leão
ok,1255,2005,14,2005-07-24,2005-07-24,Ponte Preta,Fluminense,2-1,exact,https://www.ogol.com.br/jogo/2005-07-24-ponte-preta-fluminense/179782,Vadão,Abel Braga
ok,1268,2005,15,2005-07-28,2005-07-29,Figueirense,Coritiba,0-0,same_score,https://www.ogol.com.br/jogo/2005-07-29-figueirense-coritiba/179792,Zé Mario,Cuca
ok,1273,2005,16,2005-07-31,2005-07-31,Figueirense,Fluminense,1-1,exact,https://www.ogol.com.br/jogo/2005-07-31-figueirense-fluminense/179803,Zé Mario,Abel Braga
ok,1276,2005,16,2005-07-31,2005-07-31,Ponte Preta,Internacional,1-1,exact,https://www.ogol.com.br/jogo/2005-07-31-ponte-preta-internacional/179804,Nenê Santana,Muricy Ramalho
ok,1290,2005,17,2005-08-04,2005-08-05,Fortaleza,Figueirense,5-2,same_score,https://www.ogol.com.br/jogo/2005-08-05-fortaleza-figueirense/179816,Hélio dos Anjos,Zé Mario
ok,1308,2005,19,2005-08-10,2005-08-11,Figueirense,Sao Paulo,3-1,same_score,https://www.ogol.com.br/jogo/2005-08-11-figueirense-sao-paulo/179836,Zé Mario,Paulo Autuori
ok,1319,2005,20,2005-08-14,2005-08-14,Figueirense,Brasiliense,2-2,exact,https://www.ogol.com.br/jogo/2005-08-14-figueirense-brasiliense/179847,Zé Mario,Joel Santana
ok,1337,2005,22,2005-08-24,2005-08-24,Ponte Preta,Athletico-PR,0-2,exact,https://www.ogol.com.br/jogo/2005-08-24-ponte-preta-atletico-paranaense/179870,Nenê Santana,Antônio Lopes
ok,1371,2005,25,2005-09-11,2005-09-11,Santos,Flamengo,0-0,exact,https://www.ogol.com.br/jogo/2005-09-11-santos-flamengo/179900,Alexandre Gallo,Andrade
ok,1445,2005,31,2005-10-11,2005-10-12,Paysandu,Coritiba,2-1,same_score,https://www.ogol.com.br/jogo/2005-10-12-paysandu-coritiba/179970,Carlos Alberto Torres,Cuca
ok,1450,2005,32,2005-10-15,2005-10-15,Coritiba,Athletico-PR,1-2,exact,https://www.ogol.com.br/jogo/2005-10-15-coritiba-atletico-paranaense/179983,Junior Lopes,Evaristo Macedo
ok,1466,2005,33,2005-10-22,2005-10-22,Botafogo-RJ,Coritiba,2-0,exact,https://www.ogol.com.br/jogo/2005-10-22-botafogo-coritiba/179995,Celso Roth,Junior Lopes
ok,1468,2005,34,2005-10-25,2005-10-25,Coritiba,Cruzeiro,0-3,exact,https://www.ogol.com.br/jogo/2005-10-25-coritiba-cruzeiro/180005,Junior Lopes,PC Gusmão
ok,1476,2005,34,2005-10-27,2005-10-27,Paysandu,Corinthians,0-2,exact,https://www.ogol.com.br/jogo/2005-10-27-paysandu-corinthians/180003,Carlos Alberto Torres,Antônio Lopes
ok,1514,2005,38,2005-11-12,2005-11-12,Paysandu,Atletico-MG,0-2,exact,https://www.ogol.com.br/jogo/2005-11-12-paysandu-atletico-mineiro/180047,Carlos Alberto Torres,Lori Sandri
ok,1540,2005,40,2005-11-20,2005-11-20,Vasco,Paysandu,4-0,exact,https://www.ogol.com.br/jogo/2005-11-20-vasco-paysandu/180070,Renato Gaúcho,Carlos Alberto Torres
ok,1552,2005,41,2005-11-27,2005-11-27,Corinthians,Ponte Preta,3-1,exact,https://www.ogol.com.br/jogo/2005-11-27-corinthians-ponte-preta/180085,Antônio Lopes,Nenê Santana
ok,1559,2005,42,2005-12-04,2005-12-04,Ponte Preta,Brasiliense,3-1,exact,https://www.ogol.com.br/jogo/2005-12-04-ponte-preta-brasiliense/180090,Nenê Santana,Márcio Bittencourt
