source,source_match_id,source_url,partida_id,temporada_id,rodada,data_banco_confirmada,data_transfermarkt,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,909357,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909357,2417,2008,11,2008-07-06,2008-07-13,2008-07-13,Sao Paulo,Palmeiras,2,1,3-5-2,4-4-2,Muricy Ramalho,Vanderlei Luxemburgo
Transfermarkt,909356,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909356,2418,2008,11,2008-07-06,2008-07-13,2008-07-13,Cruzeiro,Atletico-MG,2,1,4-4-2,4-4-2,Adilson Batista,Alexandre Gallo
Transfermarkt,909353,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909353,2419,2008,11,2008-07-06,2008-07-13,2008-07-13,Athletico-PR,Internacional,1,1,4-4-2,4-4-2,Roberto Fernandes,Tite
Transfermarkt,909352,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909352,2420,2008,11,2008-07-06,2008-07-13,2008-07-13,Santos,Botafogo-RJ,2,2,3-5-2,3-5-2,Cuca,Ney Franco
Transfermarkt,909355,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909355,2421,2008,11,2008-07-06,2008-07-13,2008-07-13,Ipatinga,Figueirense,0,1,4-4-2,4-4-2,Ricardo Drubscky,Paulo César Gusmão
Transfermarkt,909358,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909358,2422,2008,11,2008-07-06,2008-07-13,2008-07-13,Gremio,Portuguesa,2,1,4-4-2,4-5-1,Celso Roth,Vágner Benazzi
Transfermarkt,909359,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909359,2423,2008,11,2008-07-06,2008-07-13,2008-07-13,Nautico,Sport,0,2,4-4-2,3-5-2,Leandro Machado,Nelsinho Baptista
Transfermarkt,909354,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909354,2424,2008,11,2008-07-06,2008-07-13,2008-07-13,Flamengo,Vasco,3,1,4-4-2,4-4-2,Caio Júnior,Antônio Lopes
Transfermarkt,909389,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909389,2447,2008,14,2008-07-17,2008-07-24,2008-07-24,Palmeiras,Santos,4,2,4-4-2,4-4-2,Vanderlei Luxemburgo,Cuca
Transfermarkt,909388,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909388,2448,2008,14,2008-07-17,2008-07-24,2008-07-24,Figueirense,Gremio,1,7,4-4-2,4-4-2,Paulo César Gusmão,Celso Roth
Transfermarkt,909387,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909387,2449,2008,14,2008-07-17,2008-07-24,2008-07-24,Sport,Athletico-PR,1,0,4-4-2,4-4-2,Nelsinho Baptista,Roberto Fernandes
Transfermarkt,939124,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939124,2760,2009,6,2009-05-31,2009-06-14,2009-06-14,Goias,Corinthians,0,0,3-5-2,3-5-2,Hélio dos Anjos,Mano Menezes
Transfermarkt,939123,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939123,2761,2009,6,2009-05-31,2009-06-14,2009-06-14,Fluminense,Gremio,0,0,4-4-2,4-4-2,Carlos Alberto Parreira,Paulo Autuori
Transfermarkt,939122,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939122,2762,2009,6,2009-05-31,2009-06-14,2009-06-14,Coritiba,Flamengo,5,0,3-5-2,3-5-2,Renê Simões,Cuca
Transfermarkt,939125,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939125,2763,2009,6,2009-05-31,2009-06-14,2009-06-14,Atletico-MG,Nautico,3,0,4-4-2,4-5-1,Celso Roth,Márcio Bittencourt
Transfermarkt,939128,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939128,2764,2009,6,2009-05-31,2009-06-14,2009-06-14,Barueri,Avai,3,1,4-4-2,4-4-2,Estevam Soares,Silas
Transfermarkt,939127,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939127,2765,2009,6,2009-05-31,2009-06-14,2009-06-14,Palmeiras,Cruzeiro,3,1,4-4-2,4-4-2,Vanderlei Luxemburgo,Adilson Batista
Transfermarkt,939121,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939121,2766,2009,6,2009-05-31,2009-06-14,2009-06-14,Internacional,Vitoria,0,0,4-4-2,3-5-2,Tite,Paulo César Carpegiani
Transfermarkt,1004795,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004795,3130,2010,5,2010-05-23,2010-05-30,2010-05-30,Guarani,Sao Paulo,0,0,4-4-2,3-5-2,Vagner Mancini,Ricardo Gomes
Transfermarkt,1004796,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004796,3131,2010,5,2010-05-23,2010-05-30,2010-05-30,Atletico-MG,Fluminense,1,3,4-4-2,4-4-2,Vanderlei Luxemburgo,Muricy Ramalho
Transfermarkt,1004797,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004797,3132,2010,5,2010-05-23,2010-05-30,2010-05-30,Internacional,Athletico-PR,4,1,4-4-2,4-4-2,Enderson Moreira,Leandro Niehues
Transfermarkt,1004794,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004794,3133,2010,5,2010-05-23,2010-05-30,2010-05-30,Corinthians,Santos,4,2,4-4-2,4-4-2,Mano Menezes,Dorival Júnior
Transfermarkt,1004798,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004798,3134,2010,5,2010-05-23,2010-05-30,2010-05-30,Ceara,Cruzeiro,1,0,4-4-2,4-4-2,Paulo César Gusmão,Adilson Batista
Transfermarkt,1004800,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004800,3135,2010,5,2010-05-23,2010-05-30,2010-05-30,Botafogo-RJ,Vasco,1,1,3-5-2,4-4-2,Joel Santana,Celso Roth
Transfermarkt,1004799,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004799,3136,2010,5,2010-05-23,2010-05-30,2010-05-30,Atletico-GO,Goias,1,3,4-4-2,4-4-2,Geninho,Emerson Leão
Transfermarkt,1009425,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009425,3417,2010,34,2010-11-06,2010-11-07,2010-11-07,Atletico-MG,Santos,2,2,4-4-2,4-4-2,Dorival Júnior,Marcelo Martelotte
Transfermarkt,1009426,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009426,3418,2010,34,2010-11-06,2010-11-07,2010-11-07,Gremio,Ceara,5,1,4-4-2,4-4-2,Renato Gaúcho,Dimas Filgueiras
Transfermarkt,1009427,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009427,3419,2010,34,2010-11-06,2010-11-07,2010-11-07,Atletico-GO,Internacional,2,2,4-4-2,4-4-2,Renê Simões,Celso Roth
Transfermarkt,2770184,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770184,5661,2016,30,2016-10-13,2016-10-12,2016-10-12,Palmeiras,Cruzeiro,0,0,4-2-3-1,4-3-3 defensivo,Cuca,Mano Menezes
Transfermarkt,2770186,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770186,5662,2016,30,2016-10-13,2016-10-12,2016-10-12,Ponte Preta,Vitoria,2,0,,,Eduardo Baptista,Argel Fuchs
Transfermarkt,2770185,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770185,5663,2016,30,2016-10-13,2016-10-12,2016-10-12,Atletico-MG,America-MG,3,0,4-3-3 defensivo,4-3-1-2,Marcelo Oliveira,Enderson Moreira
Transfermarkt,2770188,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770188,5664,2016,30,2016-10-13,2016-10-12,2016-10-12,Fluminense,Flamengo,1,2,,,Levir Culpi,Zé Ricardo
Transfermarkt,2770187,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770187,5665,2016,30,2016-10-13,2016-10-12,2016-10-12,Sao Paulo,Santos,0,1,4-2-3-1,4-2-3-1,Ricardo Gomes,Dorival Júnior
Transfermarkt,2770189,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770189,5666,2016,30,2016-10-13,2016-10-12,2016-10-12,Gremio,Athletico-PR,1,0,4-2-3-1,4-2-3-1,Renato Gaúcho,Paulo Autuori
Transfermarkt,2937775,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937775,6026,2017,29,2017-10-18,2017-10-17,2017-10-17,Atletico-GO,Vasco,0,1,4-2-3-1,4-2-3-1,João Paulo Sanches,Zé Ricardo
Transfermarkt,2937774,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937774,6027,2017,29,2017-10-18,2017-10-17,2017-10-17,Coritiba,Cruzeiro,1,0,4-2-3-1,4-2-3-1,Marcelo Oliveira,Mano Menezes
Transfermarkt,2937776,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937776,6028,2017,29,2017-10-18,2017-10-17,2017-10-17,Atletico-MG,Chapecoense,2,3,4-3-3 defensivo,4-3-1-2,Oswaldo de Oliveira,Emerson Cris
Transfermarkt,2937779,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937779,6029,2017,29,2017-10-18,2017-10-17,2017-10-17,Avai,Botafogo-RJ,1,1,4-3-3 ofensivo,4-3-1-2,Claudinei Oliveira,Jair Ventura
Transfermarkt,2937777,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937777,6030,2017,29,2017-10-18,2017-10-17,2017-10-17,Fluminense,Sao Paulo,3,1,4-2-3-1,4-3-3 ofensivo,Abel Braga,Dorival Júnior
Transfermarkt,2937778,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937778,6031,2017,29,2017-10-18,2017-10-17,2017-10-17,Corinthians,Gremio,0,0,4-2-3-1,4-2-3-1,Fábio Carille,Renato Gaúcho
